comparison,model_id,seed,task,n,ours_accuracy,other_accuracy,delta_accuracy,ci95_low,ci95_high,significant,bootstrap_samples
Ours-SVD-LLM,3b_15,43,ARC-Challenge,1172,0.7551194539249146,0.5802047781569966,0.17491467576791808,0.14590443686006827,0.20392491467576793,True,10000
Ours-SVD-LLM,3b_15,43,ARC-Easy,2376,0.882996632996633,0.7239057239057239,0.1590909090909091,0.14057239057239057,0.1776094276094276,True,10000
Ours-SVD-LLM,3b_15,43,hellaswag,10042,0.944035052778331,0.8378809002190799,0.10615415255925115,0.0989842660824537,0.11322445727942641,True,10000
Ours-SVD-LLM,3b_15,43,openbookqa,500,0.85,0.698,0.152,0.112,0.192,True,10000
Ours-SVD-LLM,3b_15,43,piqa,1838,0.8618063112078346,0.7627856365614799,0.09902067464635474,0.07889009793253536,0.1191512513601741,True,10000
Ours-SVD-LLM,3b_15,43,social_i_qa,1954,0.8019447287615148,0.7430910951893551,0.05885363357215967,0.04094165813715456,0.0767656090071648,True,10000
Ours-SVD-LLM,3b_15,43,winogrande,1267,0.8476716653512234,0.7458563535911602,0.10181531176006314,0.07892659826361484,0.1254932912391476,True,10000
Ours-SVD-LLM,3b_15,43,macro,19149,0.8490819778600646,0.727389212517685,0.12169276534237941,0.11267304108802088,0.13084813078156557,True,10000
Ours-SVD-LLM,3b_15,44,ARC-Challenge,1172,0.7619453924914675,0.5981228668941979,0.16382252559726962,0.1356655290102389,0.19368600682593856,True,10000
Ours-SVD-LLM,3b_15,44,ARC-Easy,2376,0.8872053872053872,0.7348484848484849,0.15235690235690236,0.13468013468013468,0.17003367003367004,True,10000
Ours-SVD-LLM,3b_15,44,hellaswag,10042,0.944532961561442,0.8377813184624576,0.10675164309898427,0.09987801234813783,0.11382194781915952,True,10000
Ours-SVD-LLM,3b_15,44,openbookqa,500,0.84,0.712,0.128,0.086,0.17,True,10000
Ours-SVD-LLM,3b_15,44,piqa,1838,0.8634385201305768,0.7616974972796517,0.10174102285092491,0.08215451577801959,0.12241566920565833,True,10000
Ours-SVD-LLM,3b_15,44,social_i_qa,1954,0.8055271238485159,0.7446264073694985,0.0609007164790174,0.04247697031729785,0.07881269191402251,True,10000
Ours-SVD-LLM,3b_15,44,winogrande,1267,0.8634569850039463,0.7387529597474349,0.12470402525651145,0.10258484609313341,0.1468034727703236,True,10000
Ours-SVD-LLM,3b_15,44,macro,19149,0.8523009100344765,0.7325470763716752,0.11975383366280144,0.11047784433716515,0.12912379403636629,True,10000
Ours-SVD-LLM,3b_20,42,ARC-Challenge,1172,0.7687713310580204,0.5622866894197952,0.20648464163822525,0.1757679180887372,0.23720136518771331,True,10000
Ours-SVD-LLM,3b_20,42,ARC-Easy,2376,0.8846801346801347,0.688973063973064,0.19570707070707072,0.17676767676767677,0.21506734006734007,True,10000
Ours-SVD-LLM,3b_20,42,hellaswag,10042,0.9441346345349532,0.807010555666202,0.13712407886875125,0.12955586536546504,0.14459271061541526,True,10000
Ours-SVD-LLM,3b_20,42,openbookqa,500,0.844,0.656,0.188,0.146,0.23,True,10000
Ours-SVD-LLM,3b_20,42,piqa,1838,0.8672470076169749,0.720892274211099,0.14635473340587596,0.1251360174102285,0.16811751904243744,True,10000
Ours-SVD-LLM,3b_20,42,social_i_qa,1954,0.7958034800409417,0.7231320368474923,0.07267144319344933,0.05322415557830092,0.09211873080859775,True,10000
Ours-SVD-LLM,3b_20,42,winogrande,1267,0.8539857932123125,0.7103393843725335,0.143646408839779,0.11917916337805841,0.1681136543014996,True,10000
Ours-SVD-LLM,3b_20,42,macro,19149,0.8512317687347624,0.695519143498598,0.15571262523616447,0.14589159903254487,0.16529437333686434,True,10000
Ours-SVD-LLM,3b_20,43,ARC-Challenge,1172,0.7704778156996587,0.5443686006825939,0.22610921501706485,0.19539249146757678,0.2568259385665529,True,10000
Ours-SVD-LLM,3b_20,43,ARC-Easy,2376,0.8884680134680135,0.6822390572390572,0.20622895622895623,0.18686868686868688,0.22601010101010102,True,10000
Ours-SVD-LLM,3b_20,43,hellaswag,10042,0.9417446723760207,0.8010356502688707,0.14070902210714997,0.1330412268472416,0.1486755626369249,True,10000
Ours-SVD-LLM,3b_20,43,openbookqa,500,0.848,0.666,0.182,0.14,0.224,True,10000
Ours-SVD-LLM,3b_20,43,piqa,1838,0.8618063112078346,0.7306855277475517,0.1311207834602829,0.10990206746463548,0.1528835690968444,True,10000
Ours-SVD-LLM,3b_20,43,social_i_qa,1954,0.7983623336745138,0.7302968270214943,0.06806550665301944,0.04861821903787104,0.086489252814739,True,10000
Ours-SVD-LLM,3b_20,43,winogrande,1267,0.8468823993685872,0.7134964483030781,0.13338595106550907,0.10812943962115233,0.15864246250986583,True,10000
