backbone,layer_i,layer_j,C_i_to_j,C_j_to_i,mutual_cost,asymmetry
Llama-3.2-3B,3,4,0.44880366511642933,0.4989560469985008,0.4989560469985008,0.050152381882071495
Llama-3.2-3B,3,5,0.454218877479434,0.5648252870887518,0.5648252870887518,0.11060640960931778
Llama-3.2-3B,3,6,0.41652399115264416,0.6576339174062014,0.6576339174062014,0.2411099262535572
Llama-3.2-3B,3,7,0.33174004405736923,0.8543508388102055,0.8543508388102055,0.5226107947528362
Llama-3.2-3B,3,8,0.28896506037563086,0.8076514564454556,0.8076514564454556,0.5186863960698247
Llama-3.2-3B,3,9,0.24656375590711832,0.8341270498931408,0.8341270498931408,0.5875632939860225
Llama-3.2-3B,3,10,0.33336434327065945,0.9247941710054874,0.9247941710054874,0.591429827734828
Llama-3.2-3B,3,11,0.31980572175234556,0.8326843976974487,0.8326843976974487,0.5128786759451032
Llama-3.2-3B,3,12,0.41717651300132275,0.7891023121774197,0.7891023121774197,0.3719257991760969
Llama-3.2-3B,3,13,0.3938392773270607,0.8593460619449615,0.8593460619449615,0.46550678461790085
Llama-3.2-3B,3,14,0.46496603824198246,0.8827343061566353,0.8827343061566353,0.4177682679146528
Llama-3.2-3B,3,15,0.426007404923439,0.8067052327096462,0.8067052327096462,0.3806978277862072
Llama-3.2-3B,3,16,0.42302670516073704,0.8058414272964001,0.8058414272964001,0.38281472213566303
Llama-3.2-3B,3,17,0.36676183342933655,0.8261135034263134,0.8261135034263134,0.45935166999697685
Llama-3.2-3B,3,18,0.39209078438580036,0.830055084079504,0.830055084079504,0.43796429969370365
Llama-3.2-3B,3,19,0.32273363322019577,0.9322401620447636,0.9322401620447636,0.6095065288245678
Llama-3.2-3B,3,20,0.29063554108142853,0.7924275547266006,0.7924275547266006,0.5017920136451721
Llama-3.2-3B,3,21,0.30122072994709015,0.7750258892774582,0.7750258892774582,0.47380515933036804
Llama-3.2-3B,3,22,0.2017343994230032,0.9205282330513,0.9205282330513,0.7187938336282969
Llama-3.2-3B,3,23,0.18440675921738148,0.8618197776377201,0.8618197776377201,0.6774130184203386
Llama-3.2-3B,3,24,0.30987702310085297,1.0449016243219376,1.0449016243219376,0.7350246012210846
Llama-3.2-3B,3,25,0.30749401077628136,1.3188349679112434,1.3188349679112434,1.011340957134962
Llama-3.2-3B,3,26,0.2817277302965522,1.292072743177414,1.292072743177414,1.0103450128808618
Llama-3.2-3B,3,27,0.4411974474787712,1.2184145003557205,1.2184145003557205,0.7772170528769493
Llama-3.2-3B,4,5,0.7560953050851822,0.3822332099080086,0.7560953050851822,0.3738620951771736
Llama-3.2-3B,4,6,0.5547154471278191,0.3955688811838627,0.5547154471278191,0.15914656594395638
Llama-3.2-3B,4,7,0.42695796862244606,0.48429621011018753,0.48429621011018753,0.05733824148774147
Llama-3.2-3B,4,8,0.3752810498699546,0.5647547766566277,0.5647547766566277,0.18947372678667307
Llama-3.2-3B,4,9,0.30884801130741835,0.49587406031787395,0.49587406031787395,0.1870260490104556
Llama-3.2-3B,4,10,0.41736817359924316,0.5367273967713118,0.5367273967713118,0.1193592231720686
Llama-3.2-3B,4,11,0.33839312195777893,0.5805709138512611,0.5805709138512611,0.2421777918934822
