backbone,donor,target,delta_nll,kl,C_forward
Llama-3.2-3B,22,8,0.1826171875,0.20514977537095547,0.38776696287095547
Llama-3.2-3B,21,25,0.2109375,0.1773499809205532,0.3882874809205532
Llama-3.2-3B,8,11,0.19580078125,0.19262034632265568,0.3884211275726557
Llama-3.2-3B,20,24,0.19091796875,0.19769000262022018,0.3886079713702202
Llama-3.2-3B,19,21,0.19091796875,0.19880370423197746,0.38972167298197746
Llama-3.2-3B,17,11,0.19287109375,0.19797031581401825,0.39084140956401825
Llama-3.2-3B,10,7,0.193359375,0.19754308834671974,0.39090246334671974
Llama-3.2-3B,19,24,0.18896484375,0.20194252207875252,0.3909073658287525
Llama-3.2-3B,3,18,0.19091796875,0.20117281563580036,0.39209078438580036
Llama-3.2-3B,23,21,0.1953125,0.1970122791826725,0.3923247791826725
Llama-3.2-3B,22,26,0.19189453125,0.2008934710174799,0.3927880022674799
Llama-3.2-3B,21,24,0.18701171875,0.2061008270829916,0.3931125458329916
Llama-3.2-3B,15,21,0.19677734375,0.1969161406159401,0.3936934843659401
Llama-3.2-3B,3,13,0.1875,0.2063392773270607,0.3938392773270607
Llama-3.2-3B,0,18,0.1875,0.2077520415186882,0.3952520415186882
Llama-3.2-3B,17,20,0.193359375,0.20190115086734295,0.39526052586734295
Llama-3.2-3B,6,4,0.1904296875,0.2051391936838627,0.3955688811838627
Llama-3.2-3B,19,20,0.1904296875,0.20537601970136166,0.39580570720136166
Llama-3.2-3B,18,26,0.1923828125,0.2042734120041132,0.3966562245041132
Llama-3.2-3B,2,13,0.19384765625,0.2029504030942917,0.3967980593442917
Llama-3.2-3B,11,17,0.18359375,0.21370255202054977,0.3972963020205498
Llama-3.2-3B,7,18,0.19384765625,0.20380091667175293,0.39764857292175293
Llama-3.2-3B,13,8,0.19775390625,0.200206208974123,0.397960115224123
Llama-3.2-3B,1,4,0.1875,0.21238259226083755,0.39988259226083755
Llama-3.2-3B,14,21,0.20166015625,0.19857891276478767,0.4002390690147877
Llama-3.2-3B,6,18,0.18896484375,0.2113522421568632,0.4003170859068632
Llama-3.2-3B,17,26,0.1943359375,0.20602346770465374,0.40035940520465374
Llama-3.2-3B,23,26,0.19287109375,0.20794826559722424,0.40081935934722424
Llama-3.2-3B,10,17,0.19482421875,0.20603216625750065,0.40085638500750065
Llama-3.2-3B,23,17,0.189453125,0.21156040579080582,0.4010135307908058
Llama-3.2-3B,14,8,0.20263671875,0.1985772419720888,0.4012139607220888
Llama-3.2-3B,23,20,0.19677734375,0.20496620424091816,0.40174354799091816
Llama-3.2-3B,21,19,0.19287109375,0.20888200588524342,0.4017530996352434
Llama-3.2-3B,18,20,0.2001953125,0.20194875821471214,0.40214407071471214
Llama-3.2-3B,9,11,0.19677734375,0.2063333187252283,0.4031106624752283
Llama-3.2-3B,25,21,0.17919921875,0.2245876044034958,0.4037868231534958
Llama-3.2-3B,23,19,0.203125,0.20089437067508698,0.404019370675087
Llama-3.2-3B,4,18,0.1953125,0.209505382925272,0.404817882925272
Llama-3.2-3B,15,19,0.20654296875,0.19933246076107025,0.40587542951107025
Llama-3.2-3B,20,17,0.2001953125,0.20656942017376423,0.40676473267376423
Llama-3.2-3B,24,9,0.19189453125,0.2156272642314434,0.4075217954814434
Llama-3.2-3B,25,17,0.171875,0.23565804958343506,0.40753304958343506
Llama-3.2-3B,12,7,0.1904296875,0.21742046624422073,0.40785015374422073
Llama-3.2-3B,26,17,0.171875,0.23634044267237186,0.40821544267237186
Llama-3.2-3B,21,11,0.2041015625,0.20420234464108944,0.40830390714108944
Llama-3.2-3B,7,8,0.18701171875,0.22207711823284626,0.40908883698284626
Llama-3.2-3B,8,10,0.1962890625,0.2132308017462492,0.4095198642462492
Llama-3.2-3B,14,19,0.20703125,0.20269587822258472,0.4097271282225847
Llama-3.2-3B,25,24,0.18017578125,0.22996050119400024,0.41013628244400024
Llama-3.2-3B,15,12,0.197265625,0.21358139999210835,0.41084702499210835
Llama-3.2-3B,5,16,0.19677734375,0.21426828391849995,0.41104562766849995
Llama-3.2-3B,18,21,0.20849609375,0.20280649326741695,0.41130258701741695
Llama-3.2-3B,20,19,0.2021484375,0.21006475389003754,0.41221319139003754
Llama-3.2-3B,16,13,0.1943359375,0.21826920099556446,0.41260513849556446
Llama-3.2-3B,20,7,0.19580078125,0.21696419082581997,0.41276497207581997
Llama-3.2-3B,5,13,0.1923828125,0.22065214440226555,0.41303495690226555
Llama-3.2-3B,24,20,0.2021484375,0.2109682559967041,0.4131166934967041
Llama-3.2-3B,7,6,0.1953125,0.21935574151575565,0.41466824151575565
Llama-3.2-3B,13,19,0.2109375,0.2043587863445282,0.4152962863445282
Llama-3.2-3B,3,6,0.20458984375,0.21193414740264416,0.41652399115264416
Llama-3.2-3B,3,12,0.19921875,0.21795776300132275,0.41717651300132275
Llama-3.2-3B,4,10,0.193359375,0.22400879859924316,0.41736817359924316
Llama-3.2-3B,19,17,0.20263671875,0.2148426454514265,0.4174793642014265
